,Title,Rating
787,Ninja: Shadow of a Tear,6.1
788,Olympus Has Fallen,6.5
789,On the Job,7.0
790,Once Upon a Time in Vietnam,7.7
791,The Package,5.6
792,RED 2,6.6
793,RIPD,5.6
794,Running Man,6.7
795,Saka-saka,6.4
796,Special ID,5.5
797,Superman Unbound,6.5
798,The Suspect,6.8
799,Switch,
800,Tom Yum Goong 2,5.2
801,Waar,7.5
802,Welcome to the Punch,6.1
803,White House Down,6.3
804,The White Storm,5.8
805,The Wrath of Vajra,6.1
806,Alibughang Anak,
807,The Amazing Spider-Man 2,6.6
808,American Sniper,
809,Android Cop,3.3
810,Black & White: The Dawn of Justice,5.7
811,Bonifacio: Ang Unang Pangulo,6.5
812,Brick Mansions,5.6
813,Brotherhood of Blades,6.6
814,The Dead Lands,6.3
815,Edge of Tomorrow,7.9
816,The Equalizer,6.9
817,Everly,5.1
818,The Expendables 3,6.1
819,Falcon Rising,5.7
820,Gangster Lolo,
821,High Kick Angels,6.2
822,In the Blood,5.7
823,Jack Ryan: Shadow Recruit,6.2
824,John Wick,7.7
825,Justice League: War,5.3
826,Kung Fu Jungle,6.4
827,Mercenaries christopher douglas olen ray,
828,Muslim Magnum 357: To Serve and Protect,5.2
829,No Tears for the Dead,7.4
830,P-51 Dragon Fighter,2.8
831,The Raid 2: Berandal,7.9
832,Redeemer,5.4
833,Ride Along,6.1
834,"Sa Ngalan ng Ama, Ina at mga Anak",7.6
835,Sabotage,5.7
836,SEAL Team 8: Behind Enemy Lines,4.4
837,Sin City: A Dame to Kill For,6.5
838,Sniper: Legacy,5.3
839,Son of Batman,6.7
840,The Target,5.2
841,Transformers: Age of Extinction,5.6
842,Wyrmwood: Road of the Dead,6.2
843,American Ultra,6.1
844,Angela Markado,8.1
845,Ant-Man,6.1
846,Blackhat,5.5
847,Barely Lethal,5.4
848,Close Range,6.9
849,Dragon Blade,5.9
850,Furious 7,7.1
851,Gridlocked,5.8
852,The Gunman,5.8
853,Heist,8.2
854,Hitman: Agent 47,5.7
855,Ip Man 3,7.0
856,Kung Fury,
857,The Man from UNCLE,7.2
858,The Marine 4: Moving Target,5.2
859,Manila's Finest,4.0
860,Mission: Impossible Rogue Nation,7.4
861,Mortdecai,5.5
862,No Escape,6.7
863,Run All Night,6.6
864,San Andreas Quake,2.1
865,San Andreas,6.1
866,Survivor,7.5
867,SPL II: A Time for Consequences,6.7
868,Spy,7.0
869,Taken 3,6.0
870,The Transporter Refueled,5.2
871,Wild Card,5.6
872,Wolf Warrior,5.9
873,13 Hours: The Secret Soldiers of Benghazi,7.3
875,Bastille Day,6.3
876,Boyka: Undisputed,6.9
877,Eliminators,4.9
878,Enteng Kabisote 10 and the Abangers,3.7
879,Expressway,5.7
880,Hard Target 2,5.2
881,Headshot,6.3
883,Jarhead 3: The Siege,5.1
884,Jason Bourne,6.6
885,Keeping Up with the Joneses,5.9
886,Lady Bloodfight,5.6
887,London Has Fallen,5.9
888,Max Steel,4.6
889,Mechanic: Resurrection,5.7
890,Momentum,5.5
891,Never Back Down: No Surrender,6.3
892,Operation Mekong,6.5
893,Ride Along 2,5.9
894,Sniper: Ghost Shooter,5.4
895,Suicide Squad,5.9
896,Teenage Mutant Ninja Turtles: Out of the Shadows,5.9
897,Underworld: Blood Wars,5.7
898,X-Men: Apocalypse,6.9
899,24 Hours to Live,5.8
900,The Adventurers,5.3
901,American Assassin,6.2
902,Atomic Blonde,6.7
903,AWOL,6.2
904,Blade of the Immortal,6.7
905,The Blood,2.9
906,The Brink,7.7
907,Double Barrel,5.7
908,The Fate of the Furious,6.6
909,The Foreigner,7.0
910,The Hitman's Bodyguard,6.9
911,Jailbreak,5.4
912,John Wick: Chapter 2,7.4
913,The Marine 5: Battleground,5.1
914,Overdrive,5.4
915,Paradox,5.5
916,Security,5.7
917,Shock Wave,6.3
918,Sleepless,6.8
919,Sniper: Ultimate Kill,5.6
920,Stratton,4.8
921,The Villainess,6.6
922,x Xx: Return of Xander Cage,5.2
923,Accident Man,6.2
924,Badge of Honor: To Serve and Protect,
925,Braven,5.9
926,Buy Bust,5.7
927,Death Race: Beyond Anarchy,5.2
929,Escape Plan 2: Hades,3.9
930,The Equalizer 2,6.7
931,Final Score,5.8
932,Golden Job,5.6
933,Hunter Killer,6.6
934,I Am Vengeance,4.4
935,The Marine 6: Close Quarters,4.9
936,Master Z: The Ip Man Legacy,6.5
937,Mile 22,6.1
938,Mission: Impossible Fallout,7.7
939,''Nekrotronic'',5.6
940,The Night Comes for Us,6.9
941,Operation Red Sea,6.6
942,Peppermint,6.5
943,Sicario: Day of the Soldado,7.1
944,Skyscraper,5.8
945,Take Point,5.4
946,Venom ruben fleischer,
947,The Witch: Part 1 The Subversion,7.1
948,21 Bridges,6.6
949,Angel Has Fallen,6.4
950,Anna,6.6
951,Ashfall,6.2
952,Avengement,6.6
953,Bahad,6.8
954,Captain Marvel,6.8
955,Escape Plan: The Extractors,4.4
956,Exit Point,6.4
957,Foxtrot Six,5.4
958,Furie,5.6
959,"The Gangster, The Cop, The Devil",
960,Hobbs & Shaw,6.5
961,The Informer,6.6
962,Ip Man 4: The Finale,7.0
963,John Wick: Chapter 3 Parabellum,7.4
964,Maria,
965,The Mercenary,7.1
966,Miss Bala,5.8
967,No Mercy,5.7
968,Rambo: Last Blood,6.1
969,Spider-Man: Far From Home,7.4
970,Star Wars: The Rise of Skywalker,6.4
971,Stuber,6.2
972,Triple Threat,5.6
973,The White Storm 2 - Drug Lords,6.0
974,The Art of War,5.7
975,Bait antoine fuqua,6.3
976,Battle Royale,7.5
977,Blood: The Last Vampire hiroyuki kitabuko,5.2
978,Charlie's Angels,5.6
979,China Strike Force,5.3
980,Ang Dalubhasa,6.9
981,The Duel,7.4
982,Gojoe: Spirit War Chronicle,6.2
983,Gone in 60 Seconds,6.3
984,Jiang Hu: The Triad Zone,6.9
985,"Pag Oras Mo, Oras Mo Na",
986,Ping Lacson: Super Cop,4.8
987,Romeo Must Die,6.1
988,Shaft,6.4
989,Shanghai Noon,6.6
990,Sugo ng Tondo,7.5
991,Taxi 2,6.5
993,Tokyo Raiders,5.8
994,Whiteout setsuro wakamatsu,
995,3000 Miles to Graceland,6.0
996,The Accidental Spy,5.8
997,Alas-Dose,5.9
998,Behind Enemy Lines,6.4
999,"Bukas, Babaha ng Dugo",
1000,Bullets of Love,5.8
1001,Double Take,5.4
1002,Driven,6.4
1003,"Dugong Aso: Mabuting Kaibigan, Masamang Kaaway",
1004,Exit Wounds,5.6
1006,Formula 51,6.3
1008,Hindi Sisiw ang Kalaban Mo,
1009,"Masikip Na ang Mundo Mo, Labrador",
1010,My Wife is a Gangster,6.3
1011,Onmyoji,
1012,Pootie Tang,5.3
1013,The Princess Blade,5.6
1014,Red Shadow,5.6
1015,Replicant,5.3
1016,Running Out of Time 2,6.5
1017,Ticker,3.5
1018,Volcano High,5.9
1019,Wasabi,6.6
1020,Ang Agimat: Anting-Anting ni Lolo,6.0
1021,Ang Alamat ng Lawin,5.5
1022,Alive,7.1
1023,Aragami,6.7
1024,Batas ng Lansangan,6.7
1025,Black Mask 2: City of Masks,3.6
1026,Chinese Odyssey 2002,7.0
1027,Collateral Damage,5.5
1028,Dead or Alive: Final,5.6
1029,Derailed bob misiorowsky,
1030,Equilibrium,7.3
